date,set_name,Near Mint
2024-12-02 00:00:00+00:00,SV06: Twilight Masquerade,968.85
2024-12-03 00:00:00+00:00,SV06: Twilight Masquerade,968.85
2024-12-04 00:00:00+00:00,SV06: Twilight Masquerade,968.85
2024-12-05 00:00:00+00:00,SV06: Twilight Masquerade,968.85
2024-12-06 00:00:00+00:00,SV06: Twilight Masquerade,968.85
2024-12-07 00:00:00+00:00,SV06: Twilight Masquerade,968.85
2024-12-08 00:00:00+00:00,SV06: Twilight Masquerade,968.85
2024-12-09 00:00:00+00:00,SV06: Twilight Masquerade,943.24
2024-12-10 00:00:00+00:00,SV06: Twilight Masquerade,943.24
2024-12-11 00:00:00+00:00,SV06: Twilight Masquerade,943.24
2024-12-12 00:00:00+00:00,SV06: Twilight Masquerade,943.24
2024-12-13 00:00:00+00:00,SV06: Twilight Masquerade,943.24
2024-12-14 00:00:00+00:00,SV06: Twilight Masquerade,943.24
2024-12-15 00:00:00+00:00,SV06: Twilight Masquerade,943.24
2024-12-16 00:00:00+00:00,SV06: Twilight Masquerade,929.1700000000001
2024-12-17 00:00:00+00:00,SV06: Twilight Masquerade,929.1700000000001
2024-12-18 00:00:00+00:00,SV06: Twilight Masquerade,929.1700000000001
2024-12-19 00:00:00+00:00,SV06: Twilight Masquerade,929.1700000000001
2024-12-20 00:00:00+00:00,SV06: Twilight Masquerade,929.1700000000001
2024-12-21 00:00:00+00:00,SV06: Twilight Masquerade,929.1700000000001
2024-12-22 00:00:00+00:00,SV06: Twilight Masquerade,929.1700000000001
2024-12-23 00:00:00+00:00,SV06: Twilight Masquerade,951.16
2024-12-24 00:00:00+00:00,SV06: Twilight Masquerade,951.16
2024-12-25 00:00:00+00:00,SV06: Twilight Masquerade,951.16
2024-12-26 00:00:00+00:00,SV06: Twilight Masquerade,951.16
2024-12-27 00:00:00+00:00,SV06: Twilight Masquerade,951.16
2024-12-28 00:00:00+00:00,SV06: Twilight Masquerade,951.16
2024-12-29 00:00:00+00:00,SV06: Twilight Masquerade,951.16
2024-12-30 00:00:00+00:00,SV06: Twilight Masquerade,978.47
2024-12-31 00:00:00+00:00,SV06: Twilight Masquerade,978.47
