date,set_name,Near Mint
2025-04-13 00:00:00+00:00,SV: Paldean Fates,1422.28
2025-04-14 00:00:00+00:00,SV: Paldean Fates,1395.59
2025-04-15 00:00:00+00:00,SV: Paldean Fates,1395.59
2025-04-16 00:00:00+00:00,SV: Paldean Fates,1395.59
2025-04-17 00:00:00+00:00,SV: Paldean Fates,1395.59
2025-04-18 00:00:00+00:00,SV: Paldean Fates,1395.59
2025-04-19 00:00:00+00:00,SV: Paldean Fates,1395.59
2025-04-20 00:00:00+00:00,SV: Paldean Fates,1395.59
2025-04-21 00:00:00+00:00,SV: Paldean Fates,1390.25
2025-04-22 00:00:00+00:00,SV: Paldean Fates,1390.25
2025-04-23 00:00:00+00:00,SV: Paldean Fates,1390.25
2025-04-24 00:00:00+00:00,SV: Paldean Fates,1390.25
2025-04-25 00:00:00+00:00,SV: Paldean Fates,1390.25
2025-04-26 00:00:00+00:00,SV: Paldean Fates,1390.25
2025-04-27 00:00:00+00:00,SV: Paldean Fates,1390.25
2025-04-28 00:00:00+00:00,SV: Paldean Fates,1381.5800000000002
2025-04-29 00:00:00+00:00,SV: Paldean Fates,1381.5800000000002
2025-04-30 00:00:00+00:00,SV: Paldean Fates,1381.5800000000002
2025-05-01 00:00:00+00:00,SV: Paldean Fates,1381.5800000000002
2025-05-02 00:00:00+00:00,SV: Paldean Fates,1381.5800000000002
2025-05-03 00:00:00+00:00,SV: Paldean Fates,1381.5800000000002
2025-05-04 00:00:00+00:00,SV: Paldean Fates,1381.5800000000002
2025-05-05 00:00:00+00:00,SV: Paldean Fates,1328.72
2025-05-06 00:00:00+00:00,SV: Paldean Fates,1328.72
2025-05-07 00:00:00+00:00,SV: Paldean Fates,1328.72
2025-05-08 00:00:00+00:00,SV: Paldean Fates,1328.72
2025-05-09 00:00:00+00:00,SV: Paldean Fates,1328.72
2025-05-10 00:00:00+00:00,SV: Paldean Fates,1328.72
2025-05-11 00:00:00+00:00,SV: Paldean Fates,1328.72
2025-05-12 00:00:00+00:00,SV: Paldean Fates,1316.06
2025-05-13 00:00:00+00:00,SV: Paldean Fates,1316.06
2025-05-14 00:00:00+00:00,SV: Paldean Fates,1316.06
2025-05-15 00:00:00+00:00,SV: Paldean Fates,1316.06
2025-05-16 00:00:00+00:00,SV: Paldean Fates,1316.06
2025-05-17 00:00:00+00:00,SV: Paldean Fates,1316.06
2025-05-18 00:00:00+00:00,SV: Paldean Fates,1316.06
2025-05-19 00:00:00+00:00,SV: Paldean Fates,1338.75
2025-05-20 00:00:00+00:00,SV: Paldean Fates,1338.75
2025-05-21 00:00:00+00:00,SV: Paldean Fates,1338.75
2025-05-22 00:00:00+00:00,SV: Paldean Fates,1338.75
2025-05-23 00:00:00+00:00,SV: Paldean Fates,1338.75
2025-05-24 00:00:00+00:00,SV: Paldean Fates,1338.75
2025-05-25 00:00:00+00:00,SV: Paldean Fates,1338.75
2025-05-26 00:00:00+00:00,SV: Paldean Fates,1307.5
2025-05-27 00:00:00+00:00,SV: Paldean Fates,1307.5
2025-05-28 00:00:00+00:00,SV: Paldean Fates,1307.5
2025-05-29 00:00:00+00:00,SV: Paldean Fates,1307.5
2025-05-30 00:00:00+00:00,SV: Paldean Fates,1307.5
2025-05-31 00:00:00+00:00,SV: Paldean Fates,1307.5
2025-06-01 00:00:00+00:00,SV: Paldean Fates,1307.5
2025-06-02 00:00:00+00:00,SV: Paldean Fates,1294.25
2025-06-03 00:00:00+00:00,SV: Paldean Fates,1294.25
2025-06-04 00:00:00+00:00,SV: Paldean Fates,1294.25
2025-06-05 00:00:00+00:00,SV: Paldean Fates,1294.25
2025-06-06 00:00:00+00:00,SV: Paldean Fates,1294.25
2025-06-07 00:00:00+00:00,SV: Paldean Fates,1294.25
2025-06-08 00:00:00+00:00,SV: Paldean Fates,1294.25
2025-06-09 00:00:00+00:00,SV: Paldean Fates,1275.35
2025-06-10 00:00:00+00:00,SV: Paldean Fates,1275.35
2025-06-11 00:00:00+00:00,SV: Paldean Fates,1275.35
2025-06-12 00:00:00+00:00,SV: Paldean Fates,1275.35
2025-06-13 00:00:00+00:00,SV: Paldean Fates,1275.35
2025-06-14 00:00:00+00:00,SV: Paldean Fates,1275.35
2025-06-15 00:00:00+00:00,SV: Paldean Fates,1275.35
2025-06-16 00:00:00+00:00,SV: Paldean Fates,1249.44
2025-06-17 00:00:00+00:00,SV: Paldean Fates,1249.44
2025-06-18 00:00:00+00:00,SV: Paldean Fates,1249.44
2025-06-19 00:00:00+00:00,SV: Paldean Fates,1249.44
2025-06-20 00:00:00+00:00,SV: Paldean Fates,1249.44
2025-06-21 00:00:00+00:00,SV: Paldean Fates,1249.44
2025-06-22 00:00:00+00:00,SV: Paldean Fates,1249.44
2025-06-23 00:00:00+00:00,SV: Paldean Fates,1229.69
2025-06-24 00:00:00+00:00,SV: Paldean Fates,1229.69
2025-06-25 00:00:00+00:00,SV: Paldean Fates,1229.69
2025-06-26 00:00:00+00:00,SV: Paldean Fates,1229.69
2025-06-27 00:00:00+00:00,SV: Paldean Fates,1229.69
2025-06-28 00:00:00+00:00,SV: Paldean Fates,1229.69
2025-06-29 00:00:00+00:00,SV: Paldean Fates,1229.69
2025-06-30 00:00:00+00:00,SV: Paldean Fates,1225.25
2025-07-01 00:00:00+00:00,SV: Paldean Fates,1225.25
2025-07-02 00:00:00+00:00,SV: Paldean Fates,1225.25
2025-07-03 00:00:00+00:00,SV: Paldean Fates,1225.25
2025-07-04 00:00:00+00:00,SV: Paldean Fates,1225.25
2025-07-05 00:00:00+00:00,SV: Paldean Fates,1225.25
2025-07-06 00:00:00+00:00,SV: Paldean Fates,1225.25
2025-07-07 00:00:00+00:00,SV: Paldean Fates,1227.02
2025-07-08 00:00:00+00:00,SV: Paldean Fates,1227.02
2025-07-09 00:00:00+00:00,SV: Paldean Fates,1227.02
2025-07-10 00:00:00+00:00,SV: Paldean Fates,1227.02
2025-07-11 00:00:00+00:00,SV: Paldean Fates,1227.02
2025-07-12 00:00:00+00:00,SV: Paldean Fates,1227.02
2025-07-13 00:00:00+00:00,SV: Paldean Fates,1227.02
